REGIÃO,ANO,MÊS,ROUBO A TRANSEUNTES,REGIÕES POR ANO,TOTAL DE ROUBOS
AGUAS CLARAS,2024,JAN,10,AGUAS CLARAS - 2024,187
BRASILIA,2024,JAN,63,BRASILIA - 2024,991
BRAZLANDIA,2024,JAN,9,BRAZLANDIA - 2024,61
CANDANGOLANDIA,2024,JAN,1,CANDANGOLANDIA - 2024,25
CEILANDIA,2024,JAN,156,CEILANDIA - 2024,2185
CRUZEIRO,2024,JAN,4,CRUZEIRO - 2024,23
ESTRUTURAL,2024,JAN,18,ESTRUTURAL - 2024,195
FERCAL,2024,JAN,1,FERCAL - 2024,11
GAMA,2024,JAN,25,GAMA - 2024,466
GUARA,2024,JAN,18,GUARA - 2024,310
ITAPOA,2024,JAN,21,ITAPOA - 2024,344
JARDIM BOTANICO,2024,JAN,2,JARDIM BOTANICO - 2024,19
LAGO SUL,2024,JAN,2,LAGO SUL - 2024,21
LAGO NORTE,2024,JAN,0,LAGO NORTE - 2024,37
NUCLEO BANDEIRANTE,2024,JAN,6,NUCLEO BANDEIRANTE - 2024,92
PARANOA,2024,JAN,23,PARANOA - 2024,449
PARK WAY,2024,JAN,2,PARK WAY - 2024,11
PLANALTINA,2024,JAN,61,PLANALTINA - 2024,534
RECANTO DAS EMAS,2024,JAN,42,RECANTO DAS EMAS - 2024,529
RIACHO FUNDO,2024,JAN,10,RIACHO FUNDO - 2024,112
RIACHO FUNDO II,2024,JAN,12,RIACHO FUNDO II - 2024,164
SAMAMBAIA,2024,JAN,88,SAMAMBAIA - 2024,1117
SANTA MARIA,2024,JAN,60,SANTA MARIA - 2024,629
SAO SEBASTIAO,2024,JAN,29,SAO SEBASTIAO - 2024,315
SIA,2024,JAN,1,SIA - 2024,24
SOBRADINHO,2024,JAN,27,SOBRADINHO - 2024,324
SOL NASCENTE,2024,JAN,19,SOL NASCENTE - 2024,213
SUDOESTE,2024,JAN,1,SUDOESTE - 2024,23
TAGUATINGA,2024,JAN,75,TAGUATINGA - 2024,1059
VARJAO,2024,JAN,0,VARJAO - 2024,4
VICENTE PIRES,2024,JAN,11,VICENTE PIRES - 2024,141
AGUAS CLARAS,2019,JAN,34,AGUAS CLARAS - 2019,378
BRASILIA,2019,JAN,178,BRASILIA - 2019,2952
BRAZLANDIA,2019,JAN,17,BRAZLANDIA - 2019,268
CANDANGOLANDIA,2019,JAN,4,CANDANGOLANDIA - 2019,67
CEILANDIA,2019,JAN,511,CEILANDIA - 2019,5682
CRUZEIRO,2019,JAN,10,CRUZEIRO - 2019,120
ESTRUTURAL,2019,JAN,36,ESTRUTURAL - 2019,408
FERCAL,2019,JAN,3,FERCAL - 2019,35
GAMA,2019,JAN,151,GAMA - 2019,1691
GUARA,2019,JAN,73,GUARA - 2019,774
ITAPOA,2019,JAN,68,ITAPOA - 2019,804
JARDIM BOTANICO,2019,JAN,68,JARDIM BOTANICO - 2019,804
LAGO SUL,2019,JAN,5,LAGO SUL - 2019,32
LAGO NORTE,2019,JAN,3,LAGO NORTE - 2019,89
NUCLEO BANDEIRANTE,2019,JAN,11,NUCLEO BANDEIRANTE - 2019,201
PARANOA,2019,JAN,73,PARANOA - 2019,845
PARK WAY,2019,JAN,2,PARK WAY - 2019,41
PLANALTINA,2019,JAN,165,PLANALTINA - 2019,1808
RECANTO DAS EMAS,2019,JAN,177,RECANTO DAS EMAS - 2019,1887
RIACHO FUNDO,2019,JAN,18,RIACHO FUNDO - 2019,275
RIACHO FUNDO II,2019,JAN,32,RIACHO FUNDO II - 2019,583
SAMAMBAIA,2019,JAN,250,SAMAMBAIA - 2019,5417
SANTA MARIA,2019,JAN,78,SANTA MARIA - 2019,936
SAO SEBASTIAO,2019,JAN,78,SAO SEBASTIAO - 2019,936
SIA,2019,JAN,10,SIA - 2019,125
SOBRADINHO ,2019,JAN,55,SOBRADINHO  - 2019,110
SOBRADINHO,2019,MAR,51,SOBRADINHO - 2019,578
SOBRADINHO ll,2019,JAN,25,SOBRADINHO ll - 2019,389
SUDOESTE,2019,JAN,8,SUDOESTE - 2019,73
TAGUATINGA,2019,JAN,238,TAGUATINGA - 2019,2919
VARJAO,2019,JAN,4,VARJAO - 2019,19
VICENTE PIRES,2019,JAN,23,VICENTE PIRES - 2019,238
